region,date,median,lower_90,upper_90,lower_50,upper_50,confidence
East Midlands,2020-01-09,1,1,1,1,1,1
East Midlands,2020-01-10,0,0,0,0,0,1
East Midlands,2020-01-11,0,0,0,0,0,1
East Midlands,2020-01-12,0.5,0,1,0,1,1
East Midlands,2020-01-13,0,0,0,0,0,1
East Midlands,2020-01-14,0,0,0,0,0,1
East Midlands,2020-01-15,0,0,0,0,0,1
East Midlands,2020-01-16,0.5,0,1,0,1,1
East Midlands,2020-01-17,0,0,0,0,0,1
East Midlands,2020-01-18,0,0,1,0,0,1
East Midlands,2020-01-19,0,0,1,0,0,1
East Midlands,2020-01-20,0,0,0,0,0,1
East Midlands,2020-01-21,0,0,1,0,0,1
East Midlands,2020-01-22,0,0,1,0,0,1
East Midlands,2020-01-23,0,0,1,0,0,1
East Midlands,2020-01-24,0,0,1,0,0,1
East Midlands,2020-01-25,0,0,1,0,0,1
East Midlands,2020-01-26,0.5,0,1,0,1,1
East Midlands,2020-01-27,0,0,1,0,0,1
East Midlands,2020-01-28,0,0,1,0,0,1
East Midlands,2020-01-29,0,0,1,0,0,1
East Midlands,2020-01-30,0,0,1,0,0,1
East Midlands,2020-01-31,0,0,1,0,0,1
East Midlands,2020-02-01,0,0,1,0,0,1
East Midlands,2020-02-02,0,0,1,0,0,1
East Midlands,2020-02-03,0,0,1,0,0,1
East Midlands,2020-02-04,0,0,1,0,0,1
East Midlands,2020-02-05,0,0,1,0,0,1
East Midlands,2020-02-06,0,0,1,0,0,1
East Midlands,2020-02-07,0,0,1,0,0,1
East Midlands,2020-02-08,0,0,1,0,0,1
East Midlands,2020-02-09,0,0,1,0,0,1
East Midlands,2020-02-10,0,0,2,0,0,1
East Midlands,2020-02-11,1,0,2,0,1,1
East Midlands,2020-02-12,1,0,2,0,1,1
East Midlands,2020-02-13,1,0,2,0,1,1
East Midlands,2020-02-14,1,0,3,0,1,1
East Midlands,2020-02-15,1,0,3,0,1,1
East Midlands,2020-02-16,2,0,4,1,2,1
East Midlands,2020-02-17,2,0,5,0,2,1
East Midlands,2020-02-18,2,0,5,0,2,1
East Midlands,2020-02-19,3,0,6,1,3,1
East Midlands,2020-02-20,4,0,7,1,4,1
East Midlands,2020-02-21,5,1,9,2,5,1
East Midlands,2020-02-22,6,1,10,3,6,1
East Midlands,2020-02-23,7,2,12,3,7,1
East Midlands,2020-02-24,8,2,13,5,9,1
East Midlands,2020-02-25,9,4,16,6,10,1
East Midlands,2020-02-26,11,4,18,7,12,1
East Midlands,2020-02-27,14,5,21,9,15,1
East Midlands,2020-02-28,16,7,25,10,17,1
East Midlands,2020-02-29,19,9,29,15,22,1
East Midlands,2020-03-01,21.5,11,33,16,24,1
East Midlands,2020-03-02,25,16,39,19,28,1
East Midlands,2020-03-03,30,16,41,22,32,1
East Midlands,2020-03-04,34,22,49,26,37,1
East Midlands,2020-03-05,40,24,55,32,44,1
East Midlands,2020-03-06,46,30,62,37,49,1
East Midlands,2020-03-07,52,35,70,41,55,1
East Midlands,2020-03-08,59,40,76,50,64,1
East Midlands,2020-03-09,67,45,85,56,72,1
East Midlands,2020-03-10,75,52,95,64,80,1
East Midlands,2020-03-11,85,62,106,74,92,1
East Midlands,2020-03-12,95,71,117,81,100,1
East Midlands,2020-03-13,105,81,128,91,110,1
East Midlands,2020-03-14,115,92,137,102,121,1
East Midlands,2020-03-15,126,100,148,117,136,1
East Midlands,2020-03-16,137,113,158,123,142,1
East Midlands,2020-03-17,147,121,170,135,154,1
East Midlands,2020-03-18,157.5,134,181,148,167,1
East Midlands,2020-03-19,167,142,188,154,173,1
East Midlands,2020-03-20,176,153,198,163,181,1
East Midlands,2020-03-21,185,160,206,172,190,1
East Midlands,2020-03-22,191,168,213,182,200,1
East Midlands,2020-03-23,198,173,219,186,204,1
East Midlands,2020-03-24,202,179,224,192,210,1
East Midlands,2020-03-25,206,181,228,195,214,1
East Midlands,2020-03-26,206,186,231,199,218,1
East Midlands,2020-03-27,204,178,227,189,209,1
East Midlands,2020-03-28,201,176,224,188,208,1
East Midlands,2020-03-29,194,168,216,182,201,1
East Midlands,2020-03-30,188,163,210,176,195,1
East Midlands,2020-03-31,183,164,206,177,194,1
East Midlands,2020-04-01,180,153,198,171,188,1
East Midlands,2020-04-02,176,152,196,165,183,1
East Midlands,2020-04-03,174,151,195,163,181,1
East Midlands,2020-04-04,169,148,190,158,175,1
East Midlands,2020-04-05,166,144,186,158,175,1
East Midlands,2020-04-06,162,141,182,156,172,1
East Midlands,2020-04-07,158,138,179,149,165,1
East Midlands,2020-04-08,156,133,174,146,163,1
East Midlands,2020-04-09,154,131,171,146,162,1
East Midlands,2020-04-10,152,131,172,144,160,1
East Midlands,2020-04-11,148,127,167,134,151,1
East Midlands,2020-04-12,144,122,163,133,149,1
East Midlands,2020-04-13,140,119,157,132,147,1
East Midlands,2020-04-14,135.5,115,154,125,140,1
East Midlands,2020-04-15,132,112,150,121,137,1
East Midlands,2020-04-16,130,108,148,119,134,1
East Midlands,2020-04-17,125,107,144,113,128,1
East Midlands,2020-04-18,121,103,140,112,127,1
East Midlands,2020-04-19,116,93,131,109,123,1
East Midlands,2020-04-20,112,92,128,103,118,1
East Midlands,2020-04-21,107,90,124,97,111,1
East Midlands,2020-04-22,103,84,119,97,110,1
East Midlands,2020-04-23,98,81,114,89,102,1
East Midlands,2020-04-24,93,78,108,85,97,1
East Midlands,2020-04-25,88,72,103,83,95,1
East Midlands,2020-04-26,86,70,99,76,88,1
East Midlands,2020-04-27,84,70,99,76,88,1
East Midlands,2020-04-28,85,69,97,79,90,1
East Midlands,2020-04-29,85,69,98,78,90,1
East Midlands,2020-04-30,85,73,100,77,88,1
East Midlands,2020-05-01,85,68,98,77,89,1
East Midlands,2020-05-02,85,69,98,77,88,1
East Midlands,2020-05-03,83,66,96,77,88,1
East Midlands,2020-05-04,80,68,95,73,84,1
East Midlands,2020-05-05,78,63,92,72,83,1
East Midlands,2020-05-06,76,61,90,71,83,1
East Midlands,2020-05-07,74,60,88,68,79,1
East Midlands,2020-05-08,72,58,84,64,75,1
East Midlands,2020-05-09,69,55,83,62,72,1
East Midlands,2020-05-10,66,51,78,58,69,1
East Midlands,2020-05-11,63,50,77,56,67,1
East Midlands,2020-05-12,60,45,71,52,62,0.99
East Midlands,2020-05-13,57,44,68,51,61,0.99
East Midlands,2020-05-14,54,41,65,47,57,0.99
East Midlands,2020-05-15,51,38,61,45,54,0.99
East Midlands,2020-05-16,48,37,59,41,50,0.98
East Midlands,2020-05-17,46,34,56,39,48,0.98
East Midlands,2020-05-18,43,33,55,38,46,0.97
East Midlands,2020-05-19,41,31,51,35,43,0.96
East Midlands,2020-05-20,40,29,49,35,43,0.95
East Midlands,2020-05-21,40,28,48,36,43,0.94
East Midlands,2020-05-22,39,26,48,34,42,0.92
East Midlands,2020-05-23,38,27,48,31,40,0.9
East Midlands,2020-05-24,37,25,47,31,39,0.87
East Midlands,2020-05-25,35,24,47,28,37,0.83
East Midlands,2020-05-26,35,22,46,28,37,0.78
East Midlands,2020-05-27,33,20,46,28,37,0.72
East of England,2020-01-02,1,1,1,1,1,1
East of England,2020-01-03,0.5,0,1,0,1,1
East of England,2020-01-04,0,0,0,0,0,1
East of England,2020-01-05,0.5,0,1,0,1,1
East of England,2020-01-06,0,0,1,0,0,1
East of England,2020-01-07,0,0,1,0,0,1
East of England,2020-01-08,0,0,1,0,0,1
East of England,2020-01-09,0,0,1,0,0,1
East of England,2020-01-10,0,0,1,0,0,1
East of England,2020-01-11,0,0,0,0,0,1
East of England,2020-01-12,0,0,1,0,0,1
East of England,2020-01-13,0,0,1,0,0,1
East of England,2020-01-14,0,0,1,0,0,1
East of England,2020-01-15,0,0,1,0,0,1
East of England,2020-01-16,0,0,1,0,0,1
East of England,2020-01-17,0,0,1,0,0,1
East of England,2020-01-18,0,0,1,0,0,1
East of England,2020-01-19,0,0,1,0,0,1
East of England,2020-01-20,0,0,1,0,0,1
East of England,2020-01-21,0,0,1,0,0,1
East of England,2020-01-22,0,0,1,0,0,1
East of England,2020-01-23,0,0,1,0,0,1
East of England,2020-01-24,0,0,1,0,0,1
East of England,2020-01-25,0,0,1,0,0,1
East of England,2020-01-26,0,0,1,0,0,1
East of England,2020-01-27,0,0,1,0,0,1
East of England,2020-01-28,0,0,1,0,0,1
East of England,2020-01-29,0,0,1,0,0,1
East of England,2020-01-30,0,0,1,0,0,1
East of England,2020-01-31,0,0,1,0,0,1
East of England,2020-02-01,0,0,1,0,0,1
East of England,2020-02-02,0,0,0,0,0,1
East of England,2020-02-03,0,0,0,0,0,1
East of England,2020-02-04,0,0,1,0,0,1
East of England,2020-02-05,0,0,1,0,0,1
East of England,2020-02-06,0,0,1,0,0,1
East of England,2020-02-07,0,0,1,0,0,1
East of England,2020-02-08,0,0,1,0,0,1
East of England,2020-02-09,0,0,1,0,0,1
East of England,2020-02-10,0,0,1,0,0,1
East of England,2020-02-11,0,0,1,0,0,1
East of England,2020-02-12,0,0,2,0,0,1
East of England,2020-02-13,0,0,2,0,0,1
East of England,2020-02-14,1,0,2,0,1,1
East of England,2020-02-15,1,0,3,0,1,1
East of England,2020-02-16,1,0,3,0,1,1
East of England,2020-02-17,1,0,4,0,1,1
East of England,2020-02-18,2,0,5,1,2,1
East of England,2020-02-19,2,0,6,0,2,1
East of England,2020-02-20,3,0,6,1,3,1
East of England,2020-02-21,4,0,8,1,4,1
East of England,2020-02-22,5,1,9,2,5,1
East of England,2020-02-23,6,1,11,2,6,1
East of England,2020-02-24,7,2,13,4,8,1
East of England,2020-02-25,9,3,16,5,10,1
East of England,2020-02-26,10,4,18,6,11,1
East of England,2020-02-27,12,4,20,8,14,1
East of England,2020-02-28,15,6,25,10,17,1
East of England,2020-02-29,18,7,28,11,19,1
East of England,2020-03-01,21,9,33,14,23,1
East of England,2020-03-02,24,13,39,15,26,1
East of England,2020-03-03,29,14,44,20,32,1
East of England,2020-03-04,35,17,50,28,41,1
East of England,2020-03-05,41,21,58,32,45,1
East of England,2020-03-06,47,29,68,36,51,1
East of England,2020-03-07,55,35,77,42,59,1
East of England,2020-03-08,64,39,86,52,71,1
East of England,2020-03-09,73,51,103,62,81,1
East of England,2020-03-10,84,57,111,69,92,1
East of England,2020-03-11,96,66,126,80,103,1
East of England,2020-03-12,110,78,139,93,119,1
East of England,2020-03-13,123,92,157,105,131,1
East of England,2020-03-14,138,105,170,123,149,1
East of England,2020-03-15,154,115,185,136,164,1
East of England,2020-03-16,171.5,135,206,153,182,1
East of England,2020-03-17,189,150,219,174,201,1
East of England,2020-03-18,204.5,172,238,192,217,1
East of England,2020-03-19,221,191,256,206,233,1
East of England,2020-03-20,235,202,270,218,246,1
East of England,2020-03-21,249,214,280,232,260,1
East of England,2020-03-22,261,228,295,245,272,1
East of England,2020-03-23,270,235,302,248,276,1
East of England,2020-03-24,281,251,313,263,289,1
East of England,2020-03-25,290,255,319,275,301,1
East of England,2020-03-26,297,266,327,284,308,1
East of England,2020-03-27,302,271,332,284,309,1
East of England,2020-03-28,305,271,331,290,313,1
East of England,2020-03-29,305,273,333,289,313,1
East of England,2020-03-30,301,272,332,289,312,1
East of England,2020-03-31,299,269,328,284,307,1
East of England,2020-04-01,294,264,322,285,309,1
East of England,2020-04-02,292,262,319,277,300,1
East of England,2020-04-03,286,259,314,273,295,1
East of England,2020-04-04,278.5,248,303,262,285,1
East of England,2020-04-05,270.5,241,298,256,279,1
East of England,2020-04-06,263,233,287,250,272,1
East of England,2020-04-07,257,228,283,242,265,1
East of England,2020-04-08,253,223,277,241,262,1
East of England,2020-04-09,249,224,280,234,255,1
East of England,2020-04-10,248,220,273,235,256,1
East of England,2020-04-11,246,221,272,232,253,1
East of England,2020-04-12,243,217,269,231,252,1
East of England,2020-04-13,241,215,264,231,250,1
East of England,2020-04-14,236,207,258,224,244,1
East of England,2020-04-15,233.5,209,259,220,240,1
East of England,2020-04-16,230,204,255,218,239,1
East of England,2020-04-17,226,200,252,214,234,1
East of England,2020-04-18,220,194,245,208,229,1
East of England,2020-04-19,212,187,238,198,219,1
East of England,2020-04-20,204,181,227,191,210,1
East of England,2020-04-21,196,170,220,184,203,1
East of England,2020-04-22,188,160,208,176,195,1
East of England,2020-04-23,181,157,203,170,188,1
East of England,2020-04-24,174.5,151,197,164,182,1
East of England,2020-04-25,167,139,187,156,175,1
East of England,2020-04-26,159,135,178,151,169,1
East of England,2020-04-27,149,127,169,139,157,1
East of England,2020-04-28,141,120,162,132,149,1
East of England,2020-04-29,133,111,151,122,138,1
East of England,2020-04-30,126,107,146,116,131,1
East of England,2020-05-01,120,103,139,114,129,1
East of England,2020-05-02,113,93,131,103,117,1
East of England,2020-05-03,107,86,121,99,112,1
East of England,2020-05-04,100,83,117,92,106,1
East of England,2020-05-05,96,79,111,86,99,1
East of England,2020-05-06,94,78,108,86,98,1
East of England,2020-05-07,91,75,107,83,96,1
East of England,2020-05-08,89,73,102,80,92,1
East of England,2020-05-09,86,71,101,77,89,1
East of England,2020-05-10,83,66,96,77,88,1
East of England,2020-05-11,80,66,94,72,83,1
East of England,2020-05-12,78,65,93,72,83,1
East of England,2020-05-13,77,61,91,67,79,0.99
East of England,2020-05-14,74,60,90,65,77,0.99
East of England,2020-05-15,71,55,83,67,78,0.99
East of England,2020-05-16,65,52,79,57,68,0.99
East of England,2020-05-17,60,45,72,53,64,0.98
East of England,2020-05-18,55,43,67,47,57,0.98
East of England,2020-05-19,50,38,61,44,53,0.97
East of England,2020-05-20,47,35,57,40,49,0.97
East of England,2020-05-21,43,33,54,36,45,0.96
East of England,2020-05-22,40.5,29,50,36,44,0.95
East of England,2020-05-23,38,26,47,33,41,0.93
East of England,2020-05-24,35,23,43,29,37,0.91
East of England,2020-05-25,33,24,43,27,35,0.89
East of England,2020-05-26,31,19,39,24,32,0.85
East of England,2020-05-27,28,18,37,21,29,0.81
London,2020-01-10,1,1,1,1,1,1
London,2020-01-11,0,0,0,0,0,1
London,2020-01-12,1,0,1,1,1,1
London,2020-01-13,1,0,1,1,1,1
London,2020-01-14,0,0,1,0,0,1
London,2020-01-15,0,0,1,0,0,1
London,2020-01-16,0,0,1,0,0,1
London,2020-01-17,0,0,1,0,0,1
London,2020-01-18,0,0,1,0,0,1
London,2020-01-19,0,0,1,0,0,1
London,2020-01-20,0,0,1,0,0,1
London,2020-01-21,0,0,1,0,0,1
London,2020-01-22,0,0,1,0,0,1
London,2020-01-23,0,0,1,0,0,1
London,2020-01-24,0,0,1,0,0,1
London,2020-01-25,0,0,1,0,0,1
London,2020-01-26,0,0,1,0,0,1
London,2020-01-27,0,0,1,0,0,1
London,2020-01-28,0,0,1,0,0,1
London,2020-01-29,0,0,1,0,0,1
London,2020-01-30,0,0,1,0,0,1
London,2020-01-31,0,0,1,0,0,1
London,2020-02-01,0,0,1,0,0,1
London,2020-02-02,0,0,2,0,0,1
London,2020-02-03,0,0,2,0,0,1
London,2020-02-04,1,0,2,0,1,1
London,2020-02-05,1,0,2,0,1,1
London,2020-02-06,1,0,3,0,1,1
London,2020-02-07,1,0,3,0,1,1
London,2020-02-08,1,0,3,0,1,1
London,2020-02-09,1,0,4,0,1,1
London,2020-02-10,2,0,5,0,2,1
London,2020-02-11,2,0,6,0,2,1
London,2020-02-12,3,0,7,1,3,1
London,2020-02-13,3,0,8,0,3,1
London,2020-02-14,4,0,10,2,5,1
London,2020-02-15,5,1,12,2,6,1
London,2020-02-16,7,1,15,2,7,1
London,2020-02-17,9,1,17,4,10,1
London,2020-02-18,11,2,20,4,11,1
London,2020-02-19,14,3,25,6,15,1
London,2020-02-20,17,6,32,8,18,1
London,2020-02-21,21,6,36,13,24,1
London,2020-02-22,26,11,45,17,31,1
London,2020-02-23,32,14,53,19,34,1
London,2020-02-24,39,15,61,25,43,1
London,2020-02-25,47,20,72,31,51,1
London,2020-02-26,58,30,87,41,64,1
London,2020-02-27,69,38,105,51,77,1
London,2020-02-28,82,44,118,57,88,1
London,2020-02-29,98,56,139,72,104,1
London,2020-03-01,115,74,163,93,127,1
London,2020-03-02,136,92,188,110,147,1
London,2020-03-03,158,107,211,133,172,1
London,2020-03-04,183,128,238,152,195,1
London,2020-03-05,211,152,268,181,226,1
London,2020-03-06,241,189,307,210,256,1
London,2020-03-07,271,200,328,245,294,1
London,2020-03-08,299,231,367,274,326,1
London,2020-03-09,332,268,403,295,348,1
London,2020-03-10,365,303,439,330,384,1
London,2020-03-11,401,326,474,371,429,1
London,2020-03-12,441,367,513,406,463,1
London,2020-03-13,480,404,552,441,499,1
London,2020-03-14,517,441,582,489,546,1
London,2020-03-15,555,484,620,527,584,1
London,2020-03-16,591,522,663,558,613,1
London,2020-03-17,627,563,691,594,649,1
London,2020-03-18,657,590,711,632,682,1
London,2020-03-19,686,626,744,666,715,1
London,2020-03-20,708,657,763,682,728,1
London,2020-03-21,721.5,663,769,693,736,1
London,2020-03-22,730,679,778,700,741,1
London,2020-03-23,738,679,784,718,760,1
London,2020-03-24,741,694,800,717,760,1
London,2020-03-25,745,689,793,726,767,1
London,2020-03-26,745,688,798,725,769,1
London,2020-03-27,739,686,792,720,764,1
London,2020-03-28,722,666,778,703,748,1
London,2020-03-29,700,647,757,681,726,1
London,2020-03-30,670.5,606,715,653,697,1
London,2020-03-31,638,583,690,622,666,1
London,2020-04-01,606,555,660,584,626,1
London,2020-04-02,580,528,633,559,601,1
London,2020-04-03,548,499,605,528,571,1
London,2020-04-04,518,464,572,495,534,1
London,2020-04-05,483,431,529,463,502,1
London,2020-04-06,448,400,492,430,469,1
London,2020-04-07,419,374,461,398,435,1
London,2020-04-08,394,353,436,383,414,1
London,2020-04-09,373,327,410,354,386,1
London,2020-04-10,351,313,391,334,366,1
London,2020-04-11,328,286,365,313,345,1
London,2020-04-12,302,263,336,284,313,1
London,2020-04-13,277,243,312,260,289,1
London,2020-04-14,256,225,288,240,266,1
London,2020-04-15,239,208,266,222,246,1
London,2020-04-16,224,193,251,209,233,1
London,2020-04-17,210,180,234,195,217,1
London,2020-04-18,196,171,221,182,203,1
London,2020-04-19,182,156,203,175,193,1
London,2020-04-20,171,149,193,159,177,1
London,2020-04-21,161,134,181,148,167,1
London,2020-04-22,152,131,174,141,158,1
London,2020-04-23,147,124,166,138,154,1
London,2020-04-24,141,117,161,132,149,1
London,2020-04-25,133,109,154,122,139,1
London,2020-04-26,125,103,145,114,131,1
London,2020-04-27,115,94,134,103,119,1
London,2020-04-28,104,84,121,94,109,1
London,2020-04-29,96,78,112,86,100,1
London,2020-04-30,89,71,104,84,96,1
London,2020-05-01,83,64,97,75,88,1
London,2020-05-02,77,61,92,69,81,1
London,2020-05-03,70,55,83,65,76,1
London,2020-05-04,63,50,77,56,67,1
London,2020-05-05,59,44,70,51,61,1
London,2020-05-06,54,43,66,48,57,1
London,2020-05-07,51,39,64,48,57,1
London,2020-05-08,49,39,63,43,52,1
London,2020-05-09,47,34,56,41,49,1
London,2020-05-10,43,31,53,36,45,1
London,2020-05-11,40.5,29,50,35,43,1
London,2020-05-12,37,26,47,32,40,1
London,2020-05-13,35,26,44,28,36,1
London,2020-05-14,34,26,44,29,36,0.99
London,2020-05-15,32,23,40,27,34,0.99
London,2020-05-16,30,20,38,25,32,0.99
London,2020-05-17,28,20,37,23,30,0.99
London,2020-05-18,26,18,34,20,27,0.98
London,2020-05-19,25,16,32,20,26,0.97
London,2020-05-20,24,15,31,21,27,0.97
London,2020-05-21,23,16,31,19,25,0.96
London,2020-05-22,23,14,30,19,25,0.95
London,2020-05-23,23,14,29,18,24,0.93
London,2020-05-24,22,13,29,17,23,0.91
London,2020-05-25,21,14,29,16,22,0.89
London,2020-05-26,20,12,27,15,21,0.85
London,2020-05-27,18,11,26,13,19,0.81
North East,2020-01-18,1,1,1,1,1,1
North East,2020-01-19,0,0,0,0,0,1
North East,2020-01-20,0,0,0,0,0,1
North East,2020-01-21,0,0,0,0,0,1
North East,2020-01-22,0,0,0,0,0,1
North East,2020-01-23,0.5,0,1,0,1,1
North East,2020-01-24,0,0,1,0,0,1
North East,2020-01-25,0,0,0,0,0,1
North East,2020-01-26,0,0,1,0,0,1
North East,2020-01-27,0.5,0,1,0,1,1
North East,2020-01-28,0,0,1,0,0,1
North East,2020-01-29,0,0,1,0,0,1
North East,2020-01-30,0,0,0,0,0,1
North East,2020-01-31,0,0,1,0,0,1
North East,2020-02-01,0,0,1,0,0,1
North East,2020-02-02,0,0,1,0,0,1
North East,2020-02-03,0,0,1,0,0,1
North East,2020-02-04,0,0,1,0,0,1
North East,2020-02-05,0,0,1,0,0,1
North East,2020-02-06,0,0,1,0,0,1
North East,2020-02-07,0,0,1,0,0,1
North East,2020-02-08,0,0,1,0,0,1
North East,2020-02-09,0,0,1,0,0,1
North East,2020-02-10,0,0,1,0,0,1
North East,2020-02-11,0,0,1,0,0,1
North East,2020-02-12,0,0,1,0,0,1
North East,2020-02-13,0,0,1,0,0,1
North East,2020-02-14,0,0,1,0,0,1
North East,2020-02-15,0,0,1,0,0,1
North East,2020-02-16,0,0,1,0,0,1
North East,2020-02-17,0,0,2,0,0,1
North East,2020-02-18,1,0,2,0,1,1
North East,2020-02-19,1,0,2,0,1,1
North East,2020-02-20,1,0,2,0,1,1
North East,2020-02-21,1,0,3,0,1,1
North East,2020-02-22,1,0,3,0,1,1
North East,2020-02-23,2,0,4,1,2,1
North East,2020-02-24,2,0,5,0,2,1
North East,2020-02-25,2,0,5,0,2,1
North East,2020-02-26,3,0,7,1,3,1
North East,2020-02-27,4,0,8,1,4,1
North East,2020-02-28,5,1,9,2,5,1
North East,2020-02-29,6,1,10,2,6,1
North East,2020-03-01,7,2,13,3,7,1
North East,2020-03-02,8,2,15,3,8,1
North East,2020-03-03,10,2,18,4,10,1
North East,2020-03-04,12,3,20,7,13,1
North East,2020-03-05,14,5,24,7,15,1
North East,2020-03-06,17,6,28,12,20,1
North East,2020-03-07,21,9,34,12,22,1
North East,2020-03-08,25,12,39,16,27,1
North East,2020-03-09,29.5,14,44,20,32,1
North East,2020-03-10,35,19,51,26,39,1
North East,2020-03-11,42,23,60,31,46,1
North East,2020-03-12,49,28,69,37,53,1
North East,2020-03-13,57,34,78,45,63,1
North East,2020-03-14,67,45,92,52,72,1
North East,2020-03-15,77,47,99,60,82,1
North East,2020-03-16,89,63,118,73,96,1
North East,2020-03-17,101,72,132,84,107,1
North East,2020-03-18,115,84,144,100,125,1
North East,2020-03-19,131,97,159,116,142,1
North East,2020-03-20,146,116,177,135,160,1
North East,2020-03-21,161,131,192,146,172,1
North East,2020-03-22,175,146,208,163,188,1
North East,2020-03-23,191,156,221,177,202,1
North East,2020-03-24,206,173,235,188,214,1
North East,2020-03-25,220,192,252,206,230,1
North East,2020-03-26,231,203,260,215,239,1
North East,2020-03-27,242,210,269,226,250,1
North East,2020-03-28,249.5,221,273,236,258,1
North East,2020-03-29,254,225,281,240,263,1
North East,2020-03-30,255,228,280,239,262,1
North East,2020-03-31,254,228,281,241,264,1
North East,2020-04-01,254,226,278,240,262,1
North East,2020-04-02,250,221,277,240,261,1
North East,2020-04-03,244,218,271,231,252,1
North East,2020-04-04,236,210,260,223,244,1
North East,2020-04-05,228,202,252,216,237,1
North East,2020-04-06,220,193,241,206,226,1
North East,2020-04-07,213,183,235,203,224,1
North East,2020-04-08,208,183,231,196,215,1
North East,2020-04-09,204,179,225,192,210,1
North East,2020-04-10,201,174,221,192,211,1
North East,2020-04-11,196,172,219,179,199,1
North East,2020-04-12,192,169,216,182,200,1
North East,2020-04-13,189,164,211,176,195,1
North East,2020-04-14,185,161,205,176,193,1
North East,2020-04-15,180,157,202,170,188,1
North East,2020-04-16,176,154,199,163,181,1
North East,2020-04-17,172,149,192,162,179,1
North East,2020-04-18,166,143,188,152,170,1
North East,2020-04-19,160,136,180,150,167,1
North East,2020-04-20,153,133,175,139,158,1
North East,2020-04-21,148,124,167,136,153,1
North East,2020-04-22,145,122,163,133,150,1
North East,2020-04-23,141,116,160,132,149,1
North East,2020-04-24,136,116,158,126,142,1
North East,2020-04-25,129,106,147,120,136,1
North East,2020-04-26,120,98,140,110,126,1
North East,2020-04-27,110,89,127,102,117,1
North East,2020-04-28,102,82,118,96,109,1
North East,2020-04-29,96,78,112,87,101,1
North East,2020-04-30,92,74,107,84,97,1
North East,2020-05-01,86,68,101,76,89,1
North East,2020-05-02,81,64,96,71,84,1
North East,2020-05-03,74,58,87,68,79,1
North East,2020-05-04,68,54,82,60,71,1
North East,2020-05-05,63,50,76,58,68,1
North East,2020-05-06,59,46,72,50,61,1
North East,2020-05-07,55,41,66,47,57,1
North East,2020-05-08,51,39,62,46,55,1
North East,2020-05-09,48,35,60,41,51,1
North East,2020-05-10,45,33,56,38,47,1
North East,2020-05-11,43,30,52,37,45,1
North East,2020-05-12,41,30,51,36,44,1
North East,2020-05-13,39,28,48,34,42,0.99
North East,2020-05-14,36,26,46,30,38,0.99
North East,2020-05-15,35,24,43,30,37,0.99
North East,2020-05-16,33,22,42,26,34,0.99
North East,2020-05-17,30,22,39,26,33,0.98
North East,2020-05-18,28,19,36,23,30,0.98
North East,2020-05-19,27,18,35,21,28,0.97
North East,2020-05-20,24,16,32,20,26,0.97
North East,2020-05-21,23,15,31,19,25,0.96
North East,2020-05-22,22,13,29,17,23,0.95
North East,2020-05-23,20,12,27,16,22,0.93
North East,2020-05-24,19,11,25,14,20,0.91
North East,2020-05-25,17,9,23,12,18,0.89
North East,2020-05-26,15,8,22,10,16,0.85
North East,2020-05-27,14,7,20,10,15,0.81
North West,2020-01-18,1,1,1,1,1,1
North West,2020-01-19,0,0,1,0,0,1
North West,2020-01-20,0,0,1,0,0,1
North West,2020-01-21,0,0,1,0,0,1
North West,2020-01-22,0.5,0,1,0,1,1
North West,2020-01-23,0,0,1,0,0,1
North West,2020-01-24,0,0,1,0,0,1
North West,2020-01-25,0,0,1,0,0,1
North West,2020-01-26,0,0,1,0,0,1
North West,2020-01-27,0,0,1,0,0,1
North West,2020-01-28,0,0,1,0,0,1
North West,2020-01-29,0,0,1,0,0,1
North West,2020-01-30,0,0,1,0,0,1
North West,2020-01-31,0,0,1,0,0,1
North West,2020-02-01,0,0,1,0,0,1
North West,2020-02-02,0,0,1,0,0,1
North West,2020-02-03,0,0,1,0,0,1
North West,2020-02-04,0,0,1,0,0,1
North West,2020-02-05,0,0,1,0,0,1
North West,2020-02-06,0,0,1,0,0,1
North West,2020-02-07,0,0,1,0,0,1
North West,2020-02-08,0,0,1,0,0,1
North West,2020-02-09,0,0,2,0,0,1
North West,2020-02-10,1,0,2,0,1,1
North West,2020-02-11,1,0,2,0,1,1
North West,2020-02-12,1,0,2,0,1,1
North West,2020-02-13,1,0,3,0,1,1
North West,2020-02-14,1,0,3,0,1,1
North West,2020-02-15,1,0,4,0,1,1
North West,2020-02-16,2,0,4,0,2,1
North West,2020-02-17,2,0,6,0,2,1
North West,2020-02-18,3,0,6,1,3,1
North West,2020-02-19,4,0,8,1,4,1
North West,2020-02-20,5,1,9,2,5,1
North West,2020-02-21,6,1,10,2,6,1
North West,2020-02-22,7,2,13,3,7,1
North West,2020-02-23,8,2,15,4,9,1
North West,2020-02-24,10,3,18,5,11,1
North West,2020-02-25,13,4,21,8,14,1
North West,2020-02-26,14,5,25,10,17,1
North West,2020-02-27,17,6,28,10,18,1
North West,2020-02-28,20,8,34,14,23,1
North West,2020-02-29,24,11,39,14,25,1
North West,2020-03-01,29,14,47,23,35,1
North West,2020-03-02,34,16,53,24,38,1
North West,2020-03-03,41,22,64,31,46,1
North West,2020-03-04,49,27,72,35,53,1
North West,2020-03-05,58,32,83,44,64,1
North West,2020-03-06,68,38,95,53,75,1
North West,2020-03-07,80,49,112,62,87,1
North West,2020-03-08,93,58,127,71,99,1
